glytoucan_id,has_structure,structure_path,source,method
G00002CF,false,,glycoshape_manifest,failed
G00002XH,false,,glycoshape_manifest,failed
G00003VQ,false,,glycoshape_manifest,failed
G00009BX,true,data/raw/glycoshape/structures/G00009BX/G00009BX.pdb,glycoshape_manifest,direct_download
G00010XO,false,,glycoshape_manifest,failed
G00012MO,true,data/raw/glycoshape/structures/G00012MO/G00012MO.pdb,glycoshape_manifest,direct_download
G00012RZ,false,,glycoshape_manifest,failed
G00013MO,true,data/raw/glycoshape/structures/G00013MO/G00013MO.pdb,glycoshape_manifest,generated_glycosmos
G00014MO,true,data/raw/glycoshape/structures/G00014MO/G00014MO.pdb,glycoshape_manifest,generated_glycosmos
G00015MO,true,data/raw/glycoshape/structures/G00015MO/G00015MO.pdb,glycoshape_manifest,generated_glycosmos
G00016MO,true,data/raw/glycoshape/structures/G00016MO/G00016MO.pdb,glycoshape_manifest,generated_glycosmos
G00017MO,true,data/raw/glycoshape/structures/G00017MO/G00017MO.pdb,glycoshape_manifest,generated_glycosmos
G00018MO,false,,glycoshape_manifest,failed
G00019BE,false,,glycoshape_manifest,failed
G00019MO,false,,glycoshape_manifest,failed
G00019RN,true,data/raw/glycoshape/structures/G00019RN/G00019RN.pdb,glycoshape_manifest,generated_glycosmos
G00019UX,false,,glycoshape_manifest,failed
G00020KY,false,,glycoshape_manifest,failed
G00020MO,false,,glycoshape_manifest,failed
G00021MO,false,,glycoshape_manifest,failed
G00021YS,false,,glycoshape_manifest,failed
G00022MO,false,,glycoshape_manifest,failed
G00023LR,false,,glycoshape_manifest,failed
G00023MO,false,,glycoshape_manifest,failed
G00024MO,true,data/raw/glycoshape/structures/G00024MO/G00024MO.pdb,glycoshape_manifest,generated_glycosmos
G00025AJ,true,data/raw/glycoshape/structures/G00025AJ/G00025AJ.pdb,glycoshape_manifest,generated_glycosmos
G00025LQ,false,,glycoshape_manifest,failed
G00025YC,false,,glycoshape_manifest,failed
G00026KW,false,,glycoshape_manifest,failed
G00027JG,false,,glycoshape_manifest,failed
G00028MO,true,data/raw/glycoshape/structures/G00028MO/G00028MO.pdb,glycoshape_manifest,direct_download
G00029MO,true,data/raw/glycoshape/structures/G00029MO/G00029MO.pdb,glycoshape_manifest,generated_glycosmos
G00029YH,false,,glycoshape_manifest,failed
G00030MO,true,data/raw/glycoshape/structures/G00030MO/G00030MO.pdb,glycoshape_manifest,generated_glycosmos
G00030VN,true,data/raw/glycoshape/structures/G00030VN/G00030VN.pdb,glycoshape_manifest,generated_glycosmos
G00031MO,true,data/raw/glycoshape/structures/G00031MO/G00031MO.pdb,glycoshape_manifest,direct_download
G00032AL,false,,glycoshape_manifest,failed
G00032MO,true,data/raw/glycoshape/structures/G00032MO/G00032MO.pdb,glycoshape_manifest,direct_download
G00033MO,true,data/raw/glycoshape/structures/G00033MO/G00033MO.pdb,glycoshape_manifest,direct_download
G00034MO,true,data/raw/glycoshape/structures/G00034MO/G00034MO.pdb,glycoshape_manifest,direct_download
G00034ND,false,,glycoshape_manifest,failed
G00034XP,false,,glycoshape_manifest,failed
G00035MO,true,data/raw/glycoshape/structures/G00035MO/G00035MO.pdb,glycoshape_manifest,direct_download
G00035VF,false,,glycoshape_manifest,failed
G00036MO,true,data/raw/glycoshape/structures/G00036MO/G00036MO.pdb,glycoshape_manifest,direct_download
G00037EO,false,,glycoshape_manifest,failed
G00037MO,true,data/raw/glycoshape/structures/G00037MO/G00037MO.pdb,glycoshape_manifest,direct_download
G00038MO,true,data/raw/glycoshape/structures/G00038MO/G00038MO.pdb,glycoshape_manifest,direct_download
G00039MO,true,data/raw/glycoshape/structures/G00039MO/G00039MO.pdb,glycoshape_manifest,direct_download
G00040MO,true,data/raw/glycoshape/structures/G00040MO/G00040MO.pdb,glycoshape_manifest,direct_download
G00041IL,true,data/raw/glycoshape/structures/G00041IL/G00041IL.pdb,glycoshape_manifest,generated_glycosmos
G00041MO,true,data/raw/glycoshape/structures/G00041MO/G00041MO.pdb,glycoshape_manifest,direct_download
G00042MO,true,data/raw/glycoshape/structures/G00042MO/G00042MO.pdb,glycoshape_manifest,direct_download
G00043MO,true,data/raw/glycoshape/structures/G00043MO/G00043MO.pdb,glycoshape_manifest,direct_download
G00043OJ,false,,glycoshape_manifest,failed
G00043UT,false,,glycoshape_manifest,failed
G00044MO,true,data/raw/glycoshape/structures/G00044MO/G00044MO.pdb,glycoshape_manifest,direct_download
G00046HK,false,,glycoshape_manifest,failed
G00046MO,true,data/raw/glycoshape/structures/G00046MO/G00046MO.pdb,glycoshape_manifest,direct_download
G00047MO,true,data/raw/glycoshape/structures/G00047MO/G00047MO.pdb,glycoshape_manifest,generated_glycosmos
G00047ZG,true,data/raw/glycoshape/structures/G00047ZG/G00047ZG.pdb,glycoshape_manifest,generated_glycosmos
G00048MO,true,data/raw/glycoshape/structures/G00048MO/G00048MO.pdb,glycoshape_manifest,direct_download
G00048ZA,false,,glycoshape_manifest,failed
G00050MO,true,data/raw/glycoshape/structures/G00050MO/G00050MO.pdb,glycoshape_manifest,direct_download
G00050XR,false,,glycoshape_manifest,failed
G00051MO,true,data/raw/glycoshape/structures/G00051MO/G00051MO.pdb,glycoshape_manifest,direct_download
G00052MO,true,data/raw/glycoshape/structures/G00052MO/G00052MO.pdb,glycoshape_manifest,direct_download
G00053MO,true,data/raw/glycoshape/structures/G00053MO/G00053MO.pdb,glycoshape_manifest,direct_download
G00054MO,true,data/raw/glycoshape/structures/G00054MO/G00054MO.pdb,glycoshape_manifest,direct_download
G00054MV,false,,glycoshape_manifest,failed
