glytoucan_id,recovery_method,candidate_id,assumption_tags,status,failure_reason,file_path
G00002CF,,,,FAILED,no_structure_generated,
G00002XH,,,,FAILED,no_structure_generated,
G00003VQ,,,,FAILED,no_structure_generated,
G00009BX,original,,,RECOVERED,,data/raw/glycoshape/structures/G00009BX/G00009BX.pdb
G00010XO,,,,FAILED,no_structure_generated,
G00012MO,original,,,RECOVERED,,data/raw/glycoshape/structures/G00012MO/G00012MO.pdb
G00012RZ,,,,FAILED,no_structure_generated,
G00013MO,original,,,RECOVERED,,data/raw/glycoshape/structures/G00013MO/G00013MO.pdb
G00014MO,original,,,RECOVERED,,data/raw/glycoshape/structures/G00014MO/G00014MO.pdb
G00015MO,original,,,RECOVERED,,data/raw/glycoshape/structures/G00015MO/G00015MO.pdb
G00016MO,original,,,RECOVERED,,data/raw/glycoshape/structures/G00016MO/G00016MO.pdb
G00017MO,original,,,RECOVERED,,data/raw/glycoshape/structures/G00017MO/G00017MO.pdb
G00018MO,,,,FAILED,no_structure_generated,
G00019BE,,,,FAILED,no_structure_generated,
G00019MO,,,,FAILED,no_structure_generated,
G00019RN,original,,,RECOVERED,,data/raw/glycoshape/structures/G00019RN/G00019RN.pdb
G00019UX,direct_generation,,glycoct_parsed,RECOVERED,,data/raw/glycoshape/direct_generation/G00019UX.pdb
G00020KY,,,,FAILED,no_structure_generated,
G00020MO,,,,FAILED,no_structure_generated,
G00021MO,,,,FAILED,no_structure_generated,
G00021YS,,,,FAILED,no_structure_generated,
G00022MO,,,,FAILED,no_structure_generated,
G00023LR,,,,FAILED,no_structure_generated,
G00023MO,,,,FAILED,no_structure_generated,
G00024MO,original,,,RECOVERED,,data/raw/glycoshape/structures/G00024MO/G00024MO.pdb
G00025AJ,original,,,RECOVERED,,data/raw/glycoshape/structures/G00025AJ/G00025AJ.pdb
G00025LQ,,,,FAILED,no_structure_generated,
G00025YC,,,,FAILED,no_structure_generated,
G00026KW,,,,FAILED,no_structure_generated,
G00027JG,library_mirror,,wurcs_match_G87249CK,RECOVERED,,data/raw/glycoshape/structures/G00027JG/G00027JG.pdb
G00028MO,original,,,RECOVERED,,data/raw/glycoshape/structures/G00028MO/G00028MO.pdb
G00029MO,original,,,RECOVERED,,data/raw/glycoshape/structures/G00029MO/G00029MO.pdb
G00029YH,,,,FAILED,no_structure_generated,
G00030MO,original,,,RECOVERED,,data/raw/glycoshape/structures/G00030MO/G00030MO.pdb
G00030VN,original,,,RECOVERED,,data/raw/glycoshape/structures/G00030VN/G00030VN.pdb
G00031MO,original,,,RECOVERED,,data/raw/glycoshape/structures/G00031MO/G00031MO.pdb
G00032AL,,,,FAILED,no_structure_generated,
G00032MO,original,,,RECOVERED,,data/raw/glycoshape/structures/G00032MO/G00032MO.pdb
G00033MO,original,,,RECOVERED,,data/raw/glycoshape/structures/G00033MO/G00033MO.pdb
G00034MO,original,,,RECOVERED,,data/raw/glycoshape/structures/G00034MO/G00034MO.pdb
G00034ND,,,,FAILED,no_structure_generated,
G00034XP,,,,FAILED,no_structure_generated,
G00035MO,original,,,RECOVERED,,data/raw/glycoshape/structures/G00035MO/G00035MO.pdb
G00035VF,,,,FAILED,no_structure_generated,
G00036MO,original,,,RECOVERED,,data/raw/glycoshape/structures/G00036MO/G00036MO.pdb
G00037EO,,,,FAILED,no_structure_generated,
